unicef_region,iso3,country,vaccine,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
West & Central Africa,GIN,Guinea,HEPB3,47,47,47,45,47,47,44,50,57,63,64,57,57,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GNB,Guinea-Bissau,HEPB3,,78,82,79,85,86,86,87,87,89,82,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GUY,Guyana,HEPB3,99,99,95,97,97,95,98,98,97,93,95,98,93,94,93,93,91,90,91,85,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,HTI,Haiti,HEPB3,51,51,64,64,64,64,63,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,HND,Honduras,HEPB3,80,88,91,90,95,98,99,99,98,97,97,97,92,93,94,97,93,91,94,95,93,,,,,,,,,,,,,,,,,,,,
Western Europe,HUN,Hungary,HEPB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,ISL,Iceland,HEPB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,IND,India,HEPB3,85,91,90,89,88,87,79,70,73,44,38,37,29,6,6,8,6,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,IDN,Indonesia,HEPB3,77,85,85,85,84,84,88,92,86,81,83,82,82,76,66,65,64,64,63,62,65,77,76,65,62,50,42,43,28,,,,,,,,,,,,
Middle East & North Africa,IRN,Iran (Islamic Republic of),HEPB3,99,99,99,99,99,98,99,99,98,99,99,99,99,97,98,94,95,98,99,94,99,95,94,93,84,59,62,,,,,,,,,,,,,,
Middle East & North Africa,IRQ,Iraq,HEPB3,74,84,86,81,71,68,69,68,65,78,72,75,66,56,59,65,62,63,65,66,67,52,3,65,22,57,40,,,,,,,,,,,,,,
Western Europe,IRL,Ireland,HEPB3,94,93,94,95,95,95,95,95,95,95,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,ISR,Israel,HEPB3,96,96,96,97,95,96,97,97,97,98,97,98,99,99,96,96,99,98,98,96,98,96,97,97,96,93,92,92,92,,,,,,,,,,,,
Western Europe,ITA,Italy,HEPB3,94,95,95,94,93,93,95,96,96,96,96,96,96,97,96,96,96,95,95,95,94,97,95,95,95,95,95,95,95,95,,,,,,,,,,,
Latin America & Caribbean,JAM,Jamaica,HEPB3,95,96,97,93,98,91,92,93,96,92,94,90,92,92,97,99,98,36,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,JPN,Japan,HEPB3,92,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
