unicef_region,iso3,country,vaccine,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Middle East & North Africa,KWT,Kuwait,DTP3,,91,91,99,99,99,95,99,98,99,98,99,99,99,99,99,98,99,99,99,98,94,95,96,99,99,99,97,88,80,71,94,94,92,91,90,89,89,83,79,67
Eastern Europe & Central Asia,KGZ,Kyrgyzstan,DTP3,87,95,94,92,96,97,96,97,96,96,96,95,95,94,92,98,99,98,98,99,99,99,97,98,98,93,82,64,84,,,,,,,,,,,,
East Asia & Pacific,LAO,Lao People's Democratic Republic,DTP3,79,80,85,84,83,83,83,83,77,76,74,67,61,50,57,49,45,49,53,52,51,55,54,60,58,54,48,25,23,22,18,21,17,10,5,4,5,7,7,7,
Western Europe,LVA,Latvia,DTP3,99,99,96,98,98,94,92,94,91,92,92,94,94,94,96,99,99,98,97,97,96,95,94,92,93,98,97,80,87,,,,,,,,,,,,
Middle East & North Africa,LBN,Lebanon,DTP3,71,83,83,83,83,83,83,83,83,82,82,81,81,80,78,77,75,74,77,80,83,86,89,92,93,93,92,91,90,86,82,79,63,46,30,17,4,4,4,2,
Eastern & Southern Africa,LSO,Lesotho,DTP3,87,87,87,87,87,83,88,93,95,96,93,91,88,88,89,89,90,90,84,78,83,88,88,87,87,88,87,86,85,84,82,81,80,79,81,82,74,66,61,56,56
West & Central Africa,LBR,Liberia,DTP3,65,70,80,80,73,65,63,80,80,77,70,81,75,65,60,60,31,35,39,42,46,50,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,LBY,Libya,DTP3,73,73,73,96,97,97,94,96,98,98,98,98,98,98,98,98,97,95,93,94,94,94,95,96,96,95,95,96,90,87,84,87,84,82,82,81,81,79,72,67,60
Western Europe,LTU,Lithuania,DTP3,91,92,92,94,94,93,93,93,93,92,95,98,96,95,94,94,94,94,95,95,94,93,93,90,91,90,83,83,78,,,,,,,,,,,,
Western Europe,LUX,Luxembourg,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,98,98,98,98,97,95,94,93,91,90,90,90,95,86,77,68,75,,,
Eastern & Southern Africa,MDG,Madagascar,DTP3,68,70,66,65,68,62,68,70,68,73,70,77,77,84,85,85,78,66,62,60,57,55,52,49,49,57,66,66,65,53,46,45,42,35,30,23,19,23,15,,
Eastern & Southern Africa,MWI,Malawi,DTP3,94,95,92,88,84,88,91,89,96,97,93,93,91,87,99,93,89,84,64,90,75,85,96,95,90,89,82,91,87,87,87,87,82,78,57,55,58,63,64,66,58
East Asia & Pacific,MYS,Malaysia,DTP3,98,98,99,99,95,99,97,97,97,96,96,97,97,97,95,96,95,96,94,96,98,97,97,98,97,98,95,91,94,92,90,84,68,69,62,57,54,58,73,66,67
South Asia,MDV,Maldives,DTP3,99,98,99,99,99,99,99,99,99,96,96,98,98,98,98,98,96,98,98,98,98,97,97,97,97,94,96,90,98,98,94,91,86,42,42,28,24,13,1,1,4
West & Central Africa,MLI,Mali,DTP3,70,77,77,77,76,71,66,64,65,66,73,73,74,74,78,77,69,63,61,49,43,40,52,52,53,49,39,46,38,34,42,26,18,8,8,8,,,,,
Western Europe,MLT,Malta,DTP3,98,98,97,98,97,97,99,99,99,96,76,73,72,74,85,92,89,94,95,95,94,93,92,92,92,92,88,83,82,86,63,47,87,87,86,37,50,,,,
East Asia & Pacific,MHL,Marshall Islands,DTP3,,79,81,80,71,85,78,79,80,87,94,96,95,93,74,77,64,68,80,48,39,66,86,78,78,70,67,56,82,71,92,92,92,,,,,,,,
